"","COUNTY","MY","event_total"
"1","Durham",2010-01-01,76
"2","Durham",2010-02-01,86
"3","Durham",2010-03-01,100
"4","Durham",2010-04-01,132
"5","Durham",2010-05-01,94
"6","Durham",2010-06-01,53
"7","Durham",2010-07-01,55
"8","Durham",2010-08-01,50
"9","Durham",2010-09-01,110
"10","Durham",2010-10-01,129
"11","Durham",2010-11-01,86
"12","Durham",2010-12-01,106
"13","Durham",2011-01-01,126
"14","Durham",2011-02-01,135
"15","Durham",2011-03-01,146
"16","Durham",2011-04-01,218
"17","Durham",2011-05-01,144
"18","Durham",2011-06-01,160
"19","Durham",2011-07-01,87
"20","Durham",2011-08-01,209
"21","Durham",2011-09-01,196
"22","Durham",2011-10-01,108
"23","Durham",2011-11-01,113
"24","Durham",2011-12-01,144
"25","Durham",2012-01-01,195
"26","Durham",2012-02-01,201
"27","Durham",2012-03-01,283
"28","Durham",2012-04-01,346
"29","Durham",2012-05-01,284
"30","Durham",2012-06-01,246
"31","Durham",2012-07-01,284
"32","Durham",2012-08-01,184
"33","Durham",2012-09-01,238
"34","Durham",2012-10-01,246
"35","Durham",2012-11-01,253
"36","Durham",2012-12-01,241
"37","Durham",2013-01-01,291
"38","Durham",2013-02-01,370
"39","Durham",2013-03-01,357
"40","Durham",2013-04-01,267
"41","Durham",2013-05-01,362
"42","Durham",2013-06-01,302
"43","Durham",2013-07-01,225
"44","Durham",2013-08-01,264
"45","Durham",2013-09-01,240
"46","Durham",2013-10-01,224
"47","Durham",2013-11-01,254
"48","Durham",2013-12-01,289
"49","Durham",2014-01-01,383
"50","Durham",2014-02-01,395
"51","Durham",2014-03-01,468
"52","Durham",2014-04-01,597
"53","Durham",2014-05-01,492
"54","Durham",2014-06-01,284
"55","Durham",2014-07-01,272
"56","Durham",2014-08-01,321
"57","Durham",2014-09-01,282
"58","Durham",2014-10-01,223
"59","Durham",2014-11-01,255
"60","Durham",2014-12-01,410
"61","Durham",2015-01-01,473
"62","Durham",2015-02-01,482
"63","Durham",2015-03-01,516
"64","Durham",2015-04-01,647
"65","Durham",2015-05-01,435
"66","Durham",2015-06-01,291
"67","Durham",2015-07-01,242
"68","Durham",2015-08-01,398
"69","Durham",2015-09-01,362
"70","Durham",2015-10-01,333
"71","Durham",2015-11-01,215
"72","Durham",2015-12-01,301
"73","Durham",2016-01-01,403
"74","Durham",2016-02-01,471
"75","Durham",2016-03-01,512
"76","Durham",2016-04-01,502
"77","Durham",2016-05-01,478
"78","Durham",2016-06-01,315
"79","Durham",2016-07-01,305
"80","Durham",2016-08-01,268
"81","Durham",2016-09-01,215
"82","Durham",2016-10-01,261
"83","Durham",2016-11-01,266
"84","Durham",2016-12-01,323
"85","Durham",2017-01-01,366
"86","Durham",2017-02-01,416
"87","Durham",2017-03-01,450
"88","Durham",2017-04-01,527
"89","Durham",2017-05-01,491
"90","Durham",2017-06-01,290
"91","Durham",2017-07-01,218
"92","Durham",2017-08-01,233
"93","Durham",2017-09-01,241
"94","Durham",2017-10-01,230
"95","Durham",2017-11-01,192
"96","Durham",2017-12-01,287
"97","Durham",2018-01-01,418
"98","Durham",2018-02-01,337
"99","Durham",2018-03-01,358
"100","Durham",2018-04-01,566
"101","Durham",2018-05-01,420
"102","Durham",2018-06-01,240
"103","Durham",2018-07-01,228
"104","Durham",2018-08-01,155
"105","Durham",2018-09-01,196
"106","Durham",2018-10-01,265
"107","Durham",2018-11-01,232
"108","Durham",2018-12-01,305
"109","Durham",2019-01-01,426
"110","Durham",2019-02-01,465
"111","Durham",2019-03-01,494
"112","Durham",2019-04-01,520
"113","Durham",2019-05-01,481
"114","Durham",2019-06-01,321
"115","Durham",2019-07-01,286
"116","Durham",2019-08-01,348
"117","Durham",2019-09-01,355
"118","Durham",2019-10-01,346
"119","Durham",2019-11-01,391
"120","Durham",2019-12-01,454
