"","COUNTY","MY","spp_total"
"1","Wake",2010-01-01,101
"2","Wake",2010-02-01,101
"3","Wake",2010-03-01,103
"4","Wake",2010-04-01,137
"5","Wake",2010-05-01,146
"6","Wake",2010-06-01,86
"7","Wake",2010-07-01,75
"8","Wake",2010-08-01,85
"9","Wake",2010-09-01,134
"10","Wake",2010-10-01,140
"11","Wake",2010-11-01,105
"12","Wake",2010-12-01,115
"13","Wake",2011-01-01,118
"14","Wake",2011-02-01,106
"15","Wake",2011-03-01,115
"16","Wake",2011-04-01,149
"17","Wake",2011-05-01,150
"18","Wake",2011-06-01,103
"19","Wake",2011-07-01,102
"20","Wake",2011-08-01,120
"21","Wake",2011-09-01,144
"22","Wake",2011-10-01,159
"23","Wake",2011-11-01,114
"24","Wake",2011-12-01,114
"25","Wake",2012-01-01,111
"26","Wake",2012-02-01,106
"27","Wake",2012-03-01,141
"28","Wake",2012-04-01,185
"29","Wake",2012-05-01,156
"30","Wake",2012-06-01,113
"31","Wake",2012-07-01,99
"32","Wake",2012-08-01,132
"33","Wake",2012-09-01,161
"34","Wake",2012-10-01,161
"35","Wake",2012-11-01,130
"36","Wake",2012-12-01,127
"37","Wake",2013-01-01,126
"38","Wake",2013-02-01,135
"39","Wake",2013-03-01,145
"40","Wake",2013-04-01,194
"41","Wake",2013-05-01,179
"42","Wake",2013-06-01,106
"43","Wake",2013-07-01,102
"44","Wake",2013-08-01,122
"45","Wake",2013-09-01,155
"46","Wake",2013-10-01,144
"47","Wake",2013-11-01,126
"48","Wake",2013-12-01,127
"49","Wake",2014-01-01,129
"50","Wake",2014-02-01,131
"51","Wake",2014-03-01,148
"52","Wake",2014-04-01,187
"53","Wake",2014-05-01,176
"54","Wake",2014-06-01,114
"55","Wake",2014-07-01,111
"56","Wake",2014-08-01,130
"57","Wake",2014-09-01,151
"58","Wake",2014-10-01,155
"59","Wake",2014-11-01,135
"60","Wake",2014-12-01,127
"61","Wake",2015-01-01,132
"62","Wake",2015-02-01,136
"63","Wake",2015-03-01,142
"64","Wake",2015-04-01,185
"65","Wake",2015-05-01,167
"66","Wake",2015-06-01,116
"67","Wake",2015-07-01,105
"68","Wake",2015-08-01,128
"69","Wake",2015-09-01,145
"70","Wake",2015-10-01,164
"71","Wake",2015-11-01,128
"72","Wake",2015-12-01,131
"73","Wake",2016-01-01,129
"74","Wake",2016-02-01,142
"75","Wake",2016-03-01,146
"76","Wake",2016-04-01,193
"77","Wake",2016-05-01,173
"78","Wake",2016-06-01,114
"79","Wake",2016-07-01,119
"80","Wake",2016-08-01,130
"81","Wake",2016-09-01,164
"82","Wake",2016-10-01,175
"83","Wake",2016-11-01,135
"84","Wake",2016-12-01,134
"85","Wake",2017-01-01,129
"86","Wake",2017-02-01,138
"87","Wake",2017-03-01,144
"88","Wake",2017-04-01,205
"89","Wake",2017-05-01,179
"90","Wake",2017-06-01,111
"91","Wake",2017-07-01,123
"92","Wake",2017-08-01,142
"93","Wake",2017-09-01,176
"94","Wake",2017-10-01,164
"95","Wake",2017-11-01,143
"96","Wake",2017-12-01,139
"97","Wake",2018-01-01,137
"98","Wake",2018-02-01,132
"99","Wake",2018-03-01,144
"100","Wake",2018-04-01,196
"101","Wake",2018-05-01,166
"102","Wake",2018-06-01,118
"103","Wake",2018-07-01,116
"104","Wake",2018-08-01,128
"105","Wake",2018-09-01,176
"106","Wake",2018-10-01,180
"107","Wake",2018-11-01,144
"108","Wake",2018-12-01,131
"109","Wake",2019-01-01,134
"110","Wake",2019-02-01,133
"111","Wake",2019-03-01,141
"112","Wake",2019-04-01,197
"113","Wake",2019-05-01,169
"114","Wake",2019-06-01,119
"115","Wake",2019-07-01,128
"116","Wake",2019-08-01,141
"117","Wake",2019-09-01,174
"118","Wake",2019-10-01,182
"119","Wake",2019-11-01,148
"120","Wake",2019-12-01,141
